번호,유니코드,십진코드,설명,도형
164,0x2650,9808,SAGITTARIUS,♐
165,0x2651,9809,CAPRICORN,♑
166,0x2652,9810,AQUARIUS,♒
167,0x2653,9811,PISCES,♓
168,0x2654,9812,WHITE CHESS KING,♔
169,0x2655,9813,WHITE CHESS QUEEN,♕
170,0x2656,9814,WHITE CHESS ROOK,♖
171,0x2657,9815,WHITE CHESS BISHOP,♗
172,0x2658,9816,WHITE CHESS KNIGHT,♘
173,0x2659,9817,WHITE CHESS PAWN,♙
174,0x265A,9818,BLACK CHESS KING,♚
175,0x265B,9819,BLACK CHESS QUEEN,♛
176,0x265C,9820,BLACK CHESS ROOK,♜
177,0x265D,9821,BLACK CHESS BISHOP,♝
178,0x265E,9822,BLACK CHESS KNIGHT,♞
179,0x265F,9823,BLACK CHESS PAWN,♟
180,0x2660,9824,BLACK SPADE SUIT,♠
181,0x2661,9825,WHITE HEART SUIT,♡
182,0x2662,9826,WHITE DIAMOND SUIT,♢
183,0x2663,9827,BLACK CLUB SUIT,♣
184,0x2664,9828,WHITE SPADE SUIT,♤
185,0x2665,9829,BLACK HEART SUIT,♥
186,0x2666,9830,BLACK DIAMOND SUIT,♦
187,0x2667,9831,WHITE CLUB SUIT,♧
188,0x2668,9832,HOT SPRINGS,♨
189,0x2669,9833,QUARTER NOTE,♩
190,0x266A,9834,EIGHTH NOTE,♪
191,0x266B,9835,BEAMED EIGHTH NOTES,♫
192,0x266C,9836,BEAMED SIXTEENTH NOTES,♬
193,0x266D,9837,MUSIC FLAT SIGN,♭
194,0x266E,9838,MUSIC NATURAL SIGN,♮
195,0x266F,9839,MUSIC SHARP SIGN,♯
196,0x2670,9840,WEST SYRIAC CROSS,♰
197,0x2671,9841,EAST SYRIAC CROSS,♱
198,0x2701,9985,UPPER BLADE SCISSORS,✁
199,0x2702,9986,BLACK SCISSORS,✂
200,0x2703,9987,LOWER BLADE SCISSORS,✃
201,0x2704,9988,WHITE SCISSORS,✄
202,0x2706,9990,TELEPHONE LOCATION SIGN,✆
203,0x2707,9991,TAPE DRIVE,✇
204,0x2708,9992,AIRPLANE,✈
205,0x2709,9993,ENVELOPE,✉
206,0x270C,9996,VICTORY HAND,✌
207,0x270D,9997,WRITING HAND,✍
208,0x270E,9998,LOWER RIGHT PENCIL,✎
209,0x270F,9999,PENCIL,✏
210,0x2710,10000,UPPER RIGHT PENCIL,✐
211,0x2711,10001,WHITE NIB,✑
212,0x2712,10002,BLACK NIB,✒
213,0x2713,10003,CHECK MARK,✓
214,0x2714,10004,HEAVY CHECK MARK,✔
215,0x2715,10005,MULTIPLICATION X,✕
216,0x2716,10006,HEAVY MULTIPLICATION X,✖
217,0x2717,10007,BALLOT X,✗
218,0x2718,10008,HEAVY BALLOT X,✘
219,0x2719,10009,OUTLINED GREEK CROSS,✙
220,0x271A,10010,HEAVY GREEK CROSS,✚
221,0x271B,10011,OPEN CENTRE CROSS,✛
222,0x271C,10012,HEAVY OPEN CENTRE CROSS,✜
223,0x271D,10013,LATIN CROSS,✝
224,0x271E,10014,SHADOWED WHITE LATIN CROSS,✞
225,0x271F,10015,OUTLINED LATIN CROSS,✟
226,0x2720,10016,MALTESE CROSS,✠
227,0x2721,10017,STAR OF DAVID,✡
228,0x2722,10018,FOUR TEARDROP-SPOKED ASTERISK,✢
229,0x2723,10019,FOUR BALLOON-SPOKED ASTERISK,✣
230,0x2724,10020,HEAVY FOUR BALLOON-SPOKED ASTERISK,✤
231,0x2725,10021,FOUR CLUB-SPOKED ASTERISK,✥
232,0x2726,10022,BLACK FOUR POINTED STAR,✦
233,0x2727,10023,WHITE FOUR POINTED STAR,✧
234,0x2729,10025,STRESS OUTLINED WHITE STAR,✩
235,0x272A,10026,CIRCLED WHITE STAR,✪
236,0x272B,10027,OPEN CENTRE BLACK STAR,✫
237,0x272C,10028,BLACK CENTRE WHITE STAR,✬
238,0x272D,10029,OUTLINED BLACK STAR,✭
239,0x272E,10030,HEAVY OUTLINED BLACK STAR,✮
240,0x272F,10031,PINWHEEL STAR,✯
241,0x2730,10032,SHADOWED WHITE STAR,✰
242,0x2731,10033,HEAVY ASTERISK,✱
243,0x2732,10034,OPEN CENTRE ASTERISK,✲
244,0x2733,10035,EIGHT SPOKED ASTERISK,✳
245,0x2734,10036,EIGHT POINTED BLACK STAR,✴
246,0x2735,10037,EIGHT POINTED PINWHEEL STAR,✵
247,0x2736,10038,SIX POINTED BLACK STAR,✶
248,0x2737,10039,EIGHT POINTED RECTILINEAR BLACK STAR,✷
249,0x2738,10040,HEAVY EIGHT POINTED RECTILINEAR BLACK STAR,✸
250,0x2739,10041,TWELVE POINTED BLACK STAR,✹
251,0x273A,10042,SIXTEEN POINTED ASTERISK,✺
252,0x273B,10043,TEARDROP-SPOKED ASTERISK,✻
253,0x273C,10044,OPEN CENTRE TEARDROP-SPOKED ASTERISK,✼
254,0x273D,10045,HEAVY TEARDROP-SPOKED ASTERISK,✽
255,0x273E,10046,SIX PETALLED BLACK AND WHITE FLORETTE,✾
256,0x273F,10047,BLACK FLORETTE,✿
257,0x2740,10048,WHITE FLORETTE,❀
258,0x2741,10049,EIGHT PETALLED OUTLINED BLACK FLORETTE,❁
259,0x2742,10050,CIRCLED OPEN CENTRE EIGHT POINTED STAR,❂
260,0x2743,10051,HEAVY TEARDROP-SPOKED PINWHEEL ASTERISK,❃
261,0x2744,10052,SNOWFLAKE,❄
262,0x2745,10053,TIGHT TRIFOLIATE SNOWFLAKE,❅
263,0x2746,10054,HEAVY CHEVRON SNOWFLAKE,❆
264,0x2747,10055,SPARKLE,❇
265,0x2748,10056,HEAVY SPARKLE,❈
266,0x2749,10057,BALLOON-SPOKED ASTERISK,❉
267,0x274A,10058,EIGHT TEARDROP-SPOKED PROPELLER ASTERISK,❊
268,0x274B,10059,HEAVY EIGHT TEARDROP-SPOKED PROPELLER ASTERISK,❋
269,0x274D,10061,SHADOWED WHITE CIRCLE,❍
270,0x274F,10063,LOWER RIGHT DROP-SHADOWED WHITE SQUARE,❏
271,0x2750,10064,UPPER RIGHT DROP-SHADOWED WHITE SQUARE,❐
272,0x2751,10065,LOWER RIGHT SHADOWED WHITE SQUARE,❑
273,0x2752,10066,UPPER RIGHT SHADOWED WHITE SQUARE,❒
274,0x2756,10070,BLACK DIAMOND MINUS WHITE X,❖
275,0x2758,10072,LIGHT VERTICAL BAR,❘
276,0x2759,10073,MEDIUM VERTICAL BAR,❙
277,0x275A,10074,HEAVY VERTICAL BAR,❚
278,0x275B,10075,HEAVY SINGLE TURNED COMMA QUOTATION MARK ORNAMENT,❛
279,0x275C,10076,HEAVY SINGLE COMMA QUOTATION MARK ORNAMENT,❜
280,0x275D,10077,HEAVY DOUBLE TURNED COMMA QUOTATION MARK ORNAMENT,❝
281,0x275E,10078,HEAVY DOUBLE COMMA QUOTATION MARK ORNAMENT,❞
282,0x2761,10081,CURVED STEM PARAGRAPH SIGN ORNAMENT,❡
283,0x2762,10082,HEAVY EXCLAMATION MARK ORNAMENT,❢
284,0x2763,10083,HEAVY HEART EXCLAMATION MARK ORNAMENT,❣
285,0x2764,10084,HEAVY BLACK HEART,❤
286,0x2765,10085,ROTATED HEAVY BLACK HEART BULLET,❥
287,0x2766,10086,FLORAL HEART,❦
288,0x2767,10087,ROTATED FLORAL HEART BULLET,❧
289,0x2776,10102,DINGBAT NEGATIVE CIRCLED DIGIT ONE,❶
290,0x2777,10103,DINGBAT NEGATIVE CIRCLED DIGIT TWO,❷
291,0x2778,10104,DINGBAT NEGATIVE CIRCLED DIGIT THREE,❸
292,0x2779,10105,DINGBAT NEGATIVE CIRCLED DIGIT FOUR,❹
293,0x277A,10106,DINGBAT NEGATIVE CIRCLED DIGIT FIVE,❺
294,0x277B,10107,DINGBAT NEGATIVE CIRCLED DIGIT SIX,❻
295,0x277C,10108,DINGBAT NEGATIVE CIRCLED DIGIT SEVEN,❼
296,0x277D,10109,DINGBAT NEGATIVE CIRCLED DIGIT EIGHT,❽
297,0x277E,10110,DINGBAT NEGATIVE CIRCLED DIGIT NINE,❾
298,0x277F,10111,DINGBAT NEGATIVE CIRCLED NUMBER TEN,❿
299,0x2780,10112,DINGBAT CIRCLED SANS-SERIF DIGIT ONE,➀
300,0x2781,10113,DINGBAT CIRCLED SANS-SERIF DIGIT TWO,➁
301,0x2782,10114,DINGBAT CIRCLED SANS-SERIF DIGIT THREE,➂
302,0x2783,10115,DINGBAT CIRCLED SANS-SERIF DIGIT FOUR,➃
303,0x2784,10116,DINGBAT CIRCLED SANS-SERIF DIGIT FIVE,➄
304,0x2785,10117,DINGBAT CIRCLED SANS-SERIF DIGIT SIX,➅
305,0x2786,10118,DINGBAT CIRCLED SANS-SERIF DIGIT SEVEN,➆
306,0x2787,10119,DINGBAT CIRCLED SANS-SERIF DIGIT EIGHT,➇
307,0x2788,10120,DINGBAT CIRCLED SANS-SERIF DIGIT NINE,➈
308,0x2789,10121,DINGBAT CIRCLED SANS-SERIF NUMBER TEN,➉
309,0x278A,10122,DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT ONE,➊
310,0x278B,10123,DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT TWO,➋
311,0x278C,10124,DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT THREE,➌
312,0x278D,10125,DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FOUR,➍
313,0x278E,10126,DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FIVE,➎
